"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Sobre las limitaciones de Big Data en ciencias sociales","Ignacio Carlos Maestro Cano","Sociología y tecnociencia: Revista digital de sociología del sistema tecnocientífico","","","","","","77-98"
"Artículo","Improving 15-year-old students' science attainment by raising their science literacy","Colin Adamson","School Science Review","","","","","",""
"Artículo","Effect of a science communication event on students’attitudes towards science and technology","Nuria Torras-Melenchon, M. Dolors Grau Vilalta, Josep Font i Soldevila, Josep Freixas Bosch","The International journal of engineering education","","","","","","55-65"
"Artículo","Metodología para explorar datos abiertos de accidentalidad vial usando Ciencia de Datos: Caso Medellín","Jorge Pérez Rave, Juan Carlos Correa Morales, Favián González Echavarría","Ingeniare: Revista Chilena de Ingeniería","","","","","","495-509"
"Artículo","Gross domestic product, science interest, and science achievement: : a person × nation interaction","Elliot M. Tucker-Drob, Amanda K. Cheung, Daniel A. Briley","Psychological Science","","","","","","2047-2057"
"Artículo","Increasing participation in science beyond GCSE: the impact of Twenty First Century Science","Robin Millar","School Science Review","","","","","","67-73"
"Artículo","Grid Information Technology as a New Technological Tool for e-Science, Healthcare and Life Science","Juan Manuel Maqueira Marín, Sebastián Bruque Cámara","Journal of Technology Management & Innovation","","","","","","95-113"
"Artículo","The strategic prototype �crime-sourcing� and the science/science fiction behind it","Gary Graham, Rashid Mehmood","Technological Forecasting and Social Change","","","","","","86-92"
"Artículo","Herramientas de evaluación de editoriales científicas: El caso de “information science & library science”","Almudena Mangas Vega","A Ciência Aberta o contributo da Ciência da Informação: atas do VIII Encontro Ibérico EDICIC / coord. por Maria Manuel Borges","","","","","","377-387"
"Artículo","The science of right and wrong.","Michael Shermer","Scientific American","","","","","","83-83"
"Artículo","Essential Readings in e-Science","Kathy Szigeti (comp.), Kathy Wheeler (comp.)","Issues in Science and Technology Librarianship","","","","","",""
"Artículo","Innovation in out-of-school science","Justin Dillon","School Science Review","","","","","","57-62"
"Artículo","The hegemony of English in science and technology","Robert B. Kaplan","Journal of multilingual and multicultural development","","","","","","151-172"
"Artículo","An overview of the Open Science in times of Big Data and Innovation to global health","Jorge Magalhães, Zulmira Hartz, Adelaide Maria de Souza Antunes, Maria do Rosário O Martins","International Journal of Innovation: IJI Journal","","","","","","270-288"
"Artículo","Difficulties of Turkish Science Gifted Teachers: Institutions of Science and Art Centers","Salih Çepni, Murat Gökdere, Mehmet Küçük","Relieve: Revista ELectrónica de Investigación y EValuación Educativa","","","","","",""
"Artículo","Capturing waste recycling science","Gaizka Garechana Anacabe, Rosa María Río Belver, Ernesto Cilleruelo Carrasco, Javier Gavilanes Trapote","Technological Forecasting and Social Change","","","","","","250-258"
"Artículo","Assessing the efficiency of science, technology and innovation using Data Envelopment Analysis (DEA): The case of Colombia","Daniel Aristizábal Torres, Mónica Yuleni Castro Peña, Paola Andrea Echeverri Gutiérrez, Jesús David Valencia Salazar","DYNA: revista de la Facultad de Minas. Universidad Nacional de Colombia. Sede Medellín","","","","","","215-220"
"Artículo","Engaging with the art and science of statistics","Susan A Peters","Mathematics teacher","","","","","","496-503"
"Artículo","The New Science of Form-Searching","Mario Carpo","Architectural design","","","","","","22-27"
"Artículo","Impacto de la red social Facebook en el proceso educativo superior de las matemáticas considerando la ciencia de datos / Impact of the social network Facebook in the higher education process of mathematics considering the science of data","Ricardo Adán Salas Rueda, Rodrigo-David Salas Rueda","Nóesis: Revista de Ciencias Sociales y Humanidades","","","","","","23-42"
"Artículo","Strategic Innovation and the Science of Learning","Vijay Govindarajan, Chris Trimble","MIT Sloan management review","","","","","","67-75"
"Artículo","Big Data: fatores potencialmente discriminatórios em análise de dados","Caio Saraiva Coneglian, José Eduardo Santarem Segundo, Ricardo César Gonçalves Sant'Ana","Em Questão","","","","","","62-86"
"Artículo","Date Sex in Mesopotamia!: Science and Archaeology","Naomi F. Miller","Expedition: The magazine of the University of Pennsylvania","","","","","","29-30"
"Artículo","The Onto-epistemology of Big Data","Roy Alfaro Vargas","SAPIENTIAE","","","","","","286-294"
"Artículo","The value of our personal data in the Big Data and the Internet of all Things Era","Anahiby Becerril Gil","ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal","","","","","","71-80"
"Artículo","COST Action “European network for Web-centred linguistic data science” (NexusLinguarum)","Thierry Declerck, Jorge Gracia, John P. McCrae","Procesamiento del lenguaje natural","","","","","","93-96"
"Artículo","Material data matter — Standard data format for engineering materials","Dimitri Gagliardi","Technological Forecasting and Social Change","","","","","","357-365"
"Artículo","Fitting cylinders to data","Yves Nievergelt","Journal of computational and applied mathematics","","","","","","250-269"
"Artículo","Datos y relatos de la ciencia social como componentes de la producción de realidad social","Claudio Ramos Zincke","Convergencia: Revista de ciencias sociales","","","","","","151-177"
"Artículo","Análisis de datos de panel en ciencia política: ventajas y aplicaciones en estudios electorales","Adrián Pignataro López","Revista española de ciencia política","","","","","","259-283"
"Artículo","Data Management for Cyclists","Dirk Friel","Cycling Science / coord. por Stephen S. Cheung","","","","","","371-380"
"Artículo","Recovering structured data types from a legacy data model with overlays","Mariano Ceccato, Thomas Roy Dean, Paolo Tonella","Information and software technology","","","","","","1454-1468"
"Artículo","Data Transmission Protocols","Chuan Heng Foh","Encyclopedia of library and information sciences / coord. por Marcia J. Bates","","","","","","1432-1440"
"Artículo","Real science, real classrooms","Becky Parker","School Science Review","","","","","","116-117"
"Artículo","Veterinary Science in Catalonia: 1996-2002","María Teresa Paramio","Contributions to Science","","","","","","221-248"
"Artículo","Geology as a ""local"" science","Salvador Reguant Serra","Contributions to Science","","","","","","41-51"
"Artículo","Science of the World Wide Web","James Hendler, Wendy Hall","Science","","","","","","703-704"
"Artículo","The science of antiscience thinking.","Douglas T. Kenrick, Adam B. Cohen, Steven L. Neuberg, Robert B. Cialdini","Scientific American","","","","","","36-41"
"Artículo","The art and science of forensic meteorology","Elisabeth Austin, Peter H. Hildebrand","Physics today","","","","","",""
"Artículo","Reliability of computational science","Ivo Babuska, Fabio Nobile, Raúl Tempone","Numerical Methods for Partial Differential Equations","","","","","","753-784"
"Artículo","The Science and Fiction of Meetings","Steven G. Rogelberg, Cliff Scott, John Kello","MIT Sloan management review","","","","","","18-21"
"Artículo","Dados bibliográficos para o linked data: uma revisão sistemática de literatura","Ananda Fernanda de Jesus, Fabiano Ferreira de Castro","Brazilian Journal of Information Science","","","","","","45-55"
"Artículo","Dyostem puts science into picking dates","","Australian and New Zealand grapegrower and winemaker","","","","","","52-55"
"Artículo","DataCite and linked data","Jan Brase","JLIS.it: Italian Journal of Library","","","","","",""
"Artículo","Big data and small decisions.","Zeynep Tufekci","Scientific American","","","","","","73-73"
"Artículo","Future trends in data mining","Hans-Peter Kriegel, Karsten M. Borgwardt, Peer Kröger, Alexey Pryakhin, Matthias Schubert, Arthur Zimek","Data mining and knowledge discovery","","","","","","87-97"
"Artículo","Correspondence analysis of raw data","Michael Greenacre","Working Papers ( Universitat Pompeu Fabra. Departamento de Economía y Empresa )","","","","","",""
"Artículo","Documentación en Otorrinolaringología. Compartir datos de investigación de Otorrinolaringología en un ecosistema de ciencia abierta","María Fernanda Peset Mancebo, Antonia Ferrer Sapena, María Fernanda Garzón Farinós","Revista ORL","","","","","","265-271"
"Artículo","Proposed extended analytic hierarchical process for selecting data science methodologies","Karina B Eckert, Paola Verónica Britos","Journal of Computer Science and Technology","","","","","","49-58"
"Artículo","Criteria for the Trustworthiness of Data Centres","Jens Klump","D-Lib Magazine","","","","","",""
"Artículo","Knowledge Discovery in Data Streams","Xuan Hong Dong, Kok-Leong Ong","Encyclopedia of library and information sciences / coord. por Marcia J. Bates","","","","","","3115-3128"
"Artículo","Behavioral event data and their analysis","Ian Davidson, Sean Gilpin, Peter Walker","Data mining and knowledge discovery","","","","","","635-653"
"Artículo","A UML profile for the conceptual modelling of data-mining with time-series in data warehouses","José J. Zubcoff Vallejo, Jesús Pardillo, Juan Trujillo Mondéjar","Information and software technology","","","","","","977-992"
"Artículo","Semantically correct 2.5D GIS data ¿ The integration of a DTM and topographic vector data","Christian Heipke, Andreas Koch","ISPRS journal of photogrammetry and remote sensing","","","","","","23-32"
"Artículo","Comparison of methods for handling censored records in beef fertility data: Field data","J.K . Bertrand, R. Rekaya, K.A. Donoghue","Journal of animal science","","","","","","357-361"
"Artículo","Viewing data as a liquid asset","Michael Fitzgerald","MIT Sloan management review","","","","","","1-1"
"Artículo","100 years of data","","Columbia Journalism Review","","","","","","20-25"
"Artículo","Obsolescence looms for balloon data","Eric Hand","Science","","","","","","281-282"
"Artículo","Data, privacy, and the greater good","Eric Horvitz, Deirdre K. Mulligan","Science","","","","","","253-255"
"Artículo","Big data stumbles","Hal Hodson","New scientist","","","","","",""
"Artículo","Chemometrics for the analysis of voltammetric data","J.M. Díaz-Cruz, M. Esteban, C. Ariño","Trac - trends in analytical chemistry","","","","","","86-92"
